document,cluster_id,cluster_size
Monmouth_Beach_Elementary_School_District_AI_Policy.pdf,13,93
Monmouth_Ocean_Educational_Services_Commission_AI_Policy.pdf,13,93
Montville_Township_School_District_AI_Policy.pdf,13,93
Mount_Arlington_Public_School_District_AI_Policy.pdf,13,93
Mount_Holly_Township_Public_School_District_AI_Policy.pdf,13,93
Netcong_School_District_AI_Policy.pdf,13,93
New_Brunswick_School_District_AI_Policy.pdf,13,93
New_Milford_Public_School_District_AI_Policy.pdf,13,93
North_Arlington_School_District_AI_Policy.pdf,13,93
Ocean_City_School_District_AI_Policy.pdf,13,93
Ocean_Township_School_District_AI_Policy.pdf,13,93
Phillipsburg_School_District_AI_Policy.pdf,13,93
Randolph_Township_Schools_AI_Policy.pdf,13,93
Red_Bank_Borough_Public_School_District_AI_Policy.pdf,13,93
Red_Bank_Regional_School_District_AI_Policy.pdf,13,93
Ridgewood_Public_School_District_AI_Policy.pdf,13,93
Ringwood_School_District_AI_Policy.pdf,13,93
River_Vale_Public_School_District_AI_Policy.pdf,13,93
Riverton_School_District_AI_Policy.pdf,13,93
Rochelle_Park_School_District_AI_Policy.pdf,13,93
Rockaway_Township_School_District_AI_Policy.pdf,13,93
Saddle_Brook_School_District_AI_Policy.pdf,13,93
Salem_County_Special_Services_School_District_AI_Policy.pdf,13,93
Salem_County_Vocational_Technical_School_District_AI_Policy.pdf,13,93
Sayreville_School_District_AI_Policy.pdf,13,93
Secaucus_Board_Of_Education_AI_Policy.pdf,13,93
South_Amboy_School_District_AI_Policy.pdf,13,93
Stratford_School_District_AI_Policy.pdf,13,93
Township_Of_Ocean_School_District_AI_Policy.pdf,13,93
Union_Township_School_District_AI_Policy.pdf,13,93
Wanaque_School_District_AI_Policy.pdf,13,93
Warren_Township_School_District_AI_Policy.pdf,13,93
Wenonah_Boro_School_District_AI_Policy.pdf,13,93
West_Long_Branch_School_District_AI_Policy.pdf,13,93
West_Morris_Regional_High_School_District_AI_Policy.pdf,13,93
Westampton_Township_Public_School_District_AI_Policy.pdf,13,93
Wood_Ridge_School_District_AI_Policy.pdf,13,93
Woodland_Park_School_District_AI_Policy.pdf,13,93
Woodlynne_School_District_AI_Policy.pdf,13,93
Mantua_Township_School_District_AI_Policy.pdf,28,6
Monroe_Township_School_District_Gloucester_AI_Policy.pdf,28,6
Monroe_Township_School_District_Middlesex_AI_Policy.pdf,28,6
Rumson_Borough_School_District_AI_Policy.pdf,28,6
Trenton_Public_School_District_AI_Policy.pdf,28,6
West_Deptford_Township_School_District_AI_Policy.pdf,28,6
Cresskill_Public_School_District_AI_Policy.pdf,24,5
Hackensack_Public_Schools_AI_Policy.pdf,24,5
Livingston_Township_School_District_AI_Policy.pdf,24,5
Old_Tappan_Public_School_District_AI_Policy.pdf,24,5
Point_Pleasant_Borough_School_District_AI_Policy.pdf,24,5
Area_Vocational_Technical_Schools_Of_Mercer_County_AI_Policy.pdf,23,3
Mercer_County_Special_Services_School_District_AI_Policy.pdf,23,3
New_Providence_Board_Of_Education_AI_Policy.pdf,23,3
Burlington_City_School_District_AI_Policy.pdf,39,3
Edgewater_Park_Township_School_District_AI_Policy.pdf,39,3
Princeton_Public_Schools_AI_Policy.pdf,39,3
Beach_Haven_School_District_AI_Policy.pdf,11,2
Eastern_Camden_County_Regional_School_District_AI_Policy.pdf,11,2
Delaware_Valley_Regional_High_School_District_AI_Policy.pdf,12,2
Frenchtown_Borough_School_District_AI_Policy.pdf,12,2
Washington_Township_School_District_Gloucester_AI_Policy.pdf,22,2
Washington_Township_School_District_Morris_AI_Policy.pdf,22,2
Branchburg_Township_School_District_AI_Policy.pdf,36,2
Somerville_Public_School_District_AI_Policy.pdf,36,2
Gloucester_City_Public_School_District_AI_Policy.pdf,1,1
Mahwah_Township_Public_School_District_AI_Policy.pdf,2,1
Morris_County_Vocational_School_District_AI_Policy.pdf,3,1
Mainland_Regional_High_School_District_AI_Policy.pdf,4,1
Union_Beach_Public_School_District_AI_Policy.pdf,5,1
Northfield_City_School_District_AI_Policy.pdf,6,1
Pennsville_Public_School_District_AI_Policy.pdf,7,1
Marlboro_Township_School_District_AI_Policy.pdf,8,1
Oaklyn_Public_School_District_AI_Policy.pdf,9,1
Roseland_School_District_AI_Policy.pdf,10,1
Harding_Township_School_District_AI_Policy.pdf,14,1
Haddon_Township_School_District_AI_Policy.pdf,15,1
Winslow_Township_School_District_AI_Policy.pdf,16,1
East_Orange_School_District_AI_Policy.pdf,17,1
Deal_Boro_School_District_AI_Policy.pdf,18,1
Essex_Fells_School_District_AI_Policy.pdf,19,1
Great_Meadows_Regional_School_District_AI_Policy.pdf,20,1
Southern_Regional_School_District_AI_Policy.pdf,21,1
Hammonton_School_District_AI_Policy.pdf,25,1
Closter_AI_Policy.pdf,26,1
Verona_Public_School_District_AI_Policy.pdf,27,1
Monmouth_County_Vocational_School_District_AI_Policy.pdf,29,1
Kearny_School_District_AI_Policy.pdf,30,1
Middlesex_County_Vocational_And_Technical_School_District_AI_Policy.pdf,31,1
Passsaic_County_Vocational_School_District_AI_Policy.pdf,32,1
Springfield_Public_School_District_AI_Policy.pdf,33,1
Hanover_Park_Regional_High_School_District_AI_Policy.pdf,34,1
Parsippany_Troy_Hills_Township_School_District_AI_Policy.pdf,35,1
Robbinsville_Public_Schools_AI_Policy.pdf,37,1
Wall_Township_Public_School_District_AI_Policy.pdf,38,1
Metuchen_Public_School_District_AI_Policy.pdf,41,1
Tenafly_Public_School_District_AI_Policy.pdf,42,1
Freehold_Borough_School_District_AI_Policy.pdf,43,1
East_Windsor_Regional_School_District_AI_Policy.pdf,44,1
Rahway_Public_Schools_AI_Policy.pdf,45,1
Clifton_Public_Schools_AI_Policy.pdf,46,1
Maple_Shade_School_District_AI_Policy.pdf,47,1
Shrewsbury_AI_Policy.pdf,48,1
Green_Township_School_District_AI_Policy.pdf,49,1
Hudson_County_Schools_Of_Technology_School_District_AI_Policy.pdf,50,1
Wayne_Township_Public_Schools_AI_Policy.pdf,51,1
Denville_Township_K_8_School_District_AI_Policy.pdf,52,1
Passaic_City_School_District_AI_Policy.pdf,53,1
Hazlet_Township_Public_School_District_AI_Policy.pdf,54,1
Pinelands_Regional_School_District_AI_Policy.pdf,55,1
Seaside_Park_Borough_School_District_AI_Policy.pdf,56,1
Toms_River_Regional_School_District_AI_Policy.pdf,57,1
Boonton_Town_School_District_AI_Policy.pdf,58,1
Fairfield_Public_Schools_AI_Policy.pdf,59,1
Frankford_Township_Consolidated_School_District_AI_Policy.pdf,60,1
